ad_id,asin
76596986855845.00,B09MR4Z3
76627053140638.00,B09KTMKD
77124289085051.00,B0BSLWJK
77179037941112.00,B09KDVXT
77518771265779.00,B09MR56Q
77587861023607.00,B0BNL4S6
77705502939485.00,B0BRCYK4
77712358748164.00,B0B31Y1F
77735290716115.00,B09KDW1Y
77820944256709.00,B0BNL3Y4
77922562689379.00,B0BRCYV7
78303348592827.00,B0BNL2Z6
79470342232642.00,B0B69DD2
80857887860094.00,B0BNL117
80971055960730.00,B09MR4B1
81349070209274.00,B0BRCYJ4
81601114941156.00,B09X1HV1
81828999105308.00,B09X1H62
81958021068361.00,B0BG2QXQ
82573569484767.00,B09MR3Y2
82741995143240.00,B0BRCW2B
83426418019784.00,B09MR4B1
83657817705461.00,B0BNL5CJ
84156631499074.00,B0B69DK8
85154840516023.00,B0BRCW79
85381322178209.00,B0BT5234
85657116864380.00,B0BRCYQN
86596256835082.00,B0B31SVP
86803725569582.00,B0BNL4S6
87625691163651.00,B09KDYY3
88233574941508.00,B0B69DD2
88451286445284.00,B0BRCY68
89250545907236.00,B09KDPXY
89296821162891.00,B0BRCXP7
89740253152140.00,B09MR56Q
89848126808532.00,B0BNL43X
89916638451269.00,B0BNKZ5S
90110274658292.00,B0BRCXQM
90485362966555.00,B09MR4D8
90589736907734.00,B0BNL5N2
92064598797319.00,B09KDYY3
92441032536592.00,B0BRCXXB
92955767729249.00,B0BNL4CB
93124284874688.00,B0B69C4G
93436960938384.00,B09X1DHR
94062581253054.00,B09KTMLQ
94609325869078.00,B0BSLVXH
95601299133844.00,B0BG2QXQ
95935928342729.00,B0BNL5HY
96195894920959.00,B0B69C4G
96287819366206.00,B09KDZQJ
96880305129497.00,B0B31R1Z
97202827194798.00,B09MR5Q6
97947651553117.00,B0BG2QXQ
98013722131046.00,B0BRCYK4
98523841550854.00,B0BNKZCJ
98724263350687.00,B09MR3XT
98975048147968.00,B0BRCXQM
99432212306836.00,B0BNKYZD
99599710054412.00,B0BRCYV7
99651337668758.00,B0B31T1X
100097251049087.00,B0BG2PD3
100225217681367.00,B09KTJRH
100454875880219.00,B0BNKZYZ
101111092619805.00,B0BRCX2K
101127966848099.00,B0B31SM3
101144769148777.00,B0BNL5N2
102016598074373.00,B09MR4B1
102100250355678.00,B0BRCX2K
102419608461946.00,B0BRCXJR
103438196405560.00,B0BNL5HY
103715502901909.00,B09MR3RS
104237328260197.00,B0B31V3P
104462315378414.00,B0BNL1RD
105272259864301.00,B09MR2FY
107326068527443.00,B0BT4YQS
107650643389062.00,B09KDW1Y
107695467261413.00,B0BNL6H1
107871783087032.00,B0BNL23M
109542727727810.00,B0BRCY8Q
110036200319654.00,B0BNL3L7
110577316725781.00,B0BRCXCX
111722891553691.00,B0B69C4G
112157982876428.00,B0BNL53H
112289646935872.00,B0BNL3ZH
112478590608381.00,B0BNKZKG
113995080869534.00,B0BRCXP7
114192472738076.00,B0BRCXST
114312872914383.00,B0BNL71D
114569569600255.00,B0BNKZYZ
115020279046965.00,B09KDPXY
115193430184158.00,B0BNKZFZ
115363191100264.00,B09KDN7P
115791864761105.00,B0BNL4Y2
115901136891282.00,B0BT4YQS
116030536758454.00,B09MR3RS
116228776463997.00,B09MR36M
117161692735049.00,B09X1H62
117506605612440.00,B09KTMLQ
117897007929034.00,B09MR4B1
119039647719512.00,B0BRCXXB
120268164762121.00,B0B31R1Z
120294004297096.00,B0BNL5LT
120510220201426.00,B09MR3XT
120784391496632.00,B09KDTS4
121778665708757.00,B0BNL2VK
122811966070194.00,B0BNL4R8
123266392260838.00,B09MR2FY
123274014203918.00,B0BRCYJ3
123614494022996.00,B09KTFXX
123649289970835.00,B0BRCXJR
123836158681856.00,B09KDYY3
124720568766617.00,B09MR2FY
125693316751814.00,B09KTJRH
125936227710107.00,B09KDQ2B
126528520496498.00,B09MR5Q6
127084460737827.00,B0BNL4S7
127335786480754.00,B09MR3RS
127538392818013.00,B09KTFXX
127807879724104.00,B09MR3Y2
128314982764755.00,B0BNKZYZ
128999409763765.00,B0B31SVP
129194589686989.00,B09KDVXT
129330084388144.00,B0BRCW2B
129557151784078.00,B0BNKZ5S
130521111433606.00,B0B31R1Z
130558401693339.00,B09MR3XT
130710038444777.00,B0BT51RJ
130775614650343.00,B0BRCYJ4
131006480497903.00,B09KTFXX
131214637941407.00,B09KTJRH
131219077642496.00,B09X1HV1
131332768012165.00,B0BNL3J3
131512605510874.00,B0BRCXP7
131751124896444.00,B0BRCW2B
132358961721308.00,B0BNL3NZ
133290771063780.00,B0BNKYW3
133818895751024.00,B09MR4G7
